범죄분류,생활비마련,유흥비마련,도박비마련,허영사치심,치부,이욕_기타,사행심,신고_고소,수사협조,증언,보복_기타,가정불화,호기심,유혹,우발적,현실불만,부주의,기타,미상
도로교통법(사고후미조치),0,0,0,0,1,10,5,0,0,0,0,1,20,10,580,1,3260,1755,4134
도로교통법(음주운전),3,0,0,1,0,166,146,0,0,0,0,76,36,262,15483,18,46593,43733,2290
도로교통법(음주측정거부),0,0,0,0,0,3,1,0,0,0,0,4,1,6,404,4,1064,1068,86
도로법,60,0,0,0,0,49,2,0,0,0,0,0,0,1,49,1,543,811,937
도시및주거환경정비법,1,0,0,0,0,47,1,0,0,0,0,0,0,0,3,0,77,295,779
독점규제및공정거래에관한법률,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,82
디자인보호법,3,0,0,0,0,13,1,0,0,0,0,0,0,0,2,0,9,43,313
마약류관리에관한법률(대마),28,0,0,1,0,64,6,0,0,0,0,3,339,130,109,14,44,632,593
마약류관리에관한법률(마약),1,0,0,0,0,26,1,0,0,0,0,5,54,40,74,2,486,718,87
마약류관리에관한법률(향정),186,16,8,1,0,348,73,0,0,0,2,15,663,1153,668,125,187,2691,1653
물환경보전법,6,0,0,0,0,24,0,0,0,0,0,0,1,0,9,0,161,184,464
배타적경제수역에서의외국인어업등에관한주권적권리의행사에관한법률,62,0,0,0,0,82,2,0,0,0,0,0,0,0,1,0,8,26,8
범죄수익은닉의규제및처벌등에관한법률,2,0,0,0,2,16,1,0,0,0,0,0,0,0,3,0,1,23,270
변호사법,23,0,0,0,0,48,8,0,0,0,0,0,0,0,3,0,6,142,478
병역법,64,0,0,0,0,58,2,0,0,0,0,10,1,1,126,29,2172,3246,382
